"","cycle","state","candidate","posteriormean","posteriorstd","lower10","upper90","median","win","vote","pmean","party"
"1","2020","Alabama","Jones",0.420724197813737,0.0239353871870806,0.382827468446339,0.457653556414649,0.419875724683236,0.00366666666666667,0.397795591182365,0.420012379287575,1
"2","2020","Alabama","Tuberville",0.547633748199957,0.0239493285576764,0.542346443585351,0.617172531553661,0.580124275316764,0.996333333333333,0.602204408817635,0.579987620712425,-1
"3","2020","Alaska","Gross",0.433717118401287,0.03492436430815,0.416586583229948,0.504517400638845,0.460861699963917,0.129,0.430220356768101,0.46084423024538,1
"4","2020","Alaska","Sullivan",0.478254235847553,0.0349612191750396,0.495482599361155,0.583413416770052,0.539138300036083,0.871,0.569779643231899,0.53915576975462,-1
"5","2020","Arizona","Kelly",0.509603464377433,0.0173320317056929,0.486236654679748,0.553250711363454,0.519771014908165,0.778,0.512,0.519851187925843,1
"6","2020","Arizona","McSally",0.454780626515399,0.0173250902383762,0.446749288636546,0.513763345320252,0.480228985091835,0.222,0.488,0.480148812074157,-1
"7","2020","Arkansas","Cotton",0.615967667396878,0.110111914836963,0.742728657292885,0.955855472671736,0.889553547733703,1,0.667,0.867401425730074,-1
"8","2020","Arkansas","Harrington",0.0464820147507083,0.110111914836963,0.0441445273282638,0.257271342707115,0.110446452266297,0,0.333,0.132598574269926,0
"9","2020","Colorado","Gardner",0.440375318701748,0.0245436840985278,0.417909329915325,0.490127311716898,0.455074421592654,0.0496666666666667,0.452405322415558,0.454310269818457,-1
"10","2020","Colorado","Hickenlooper",0.536470093844726,0.0245758901584667,0.509872688283102,0.582090670084675,0.544925578407346,0.950333333333333,0.547594677584442,0.545689730181543,1
"11","2020","Georgia","Ossoff",0.479539031396485,0.0185223254425381,0.456164380398347,0.525189561031173,0.491873127273061,0.381,0.491299897645855,0.491343447938171,1
"12","2020","Georgia","Perdue",0.476215477095197,0.018444636109007,0.474810438968827,0.543835619601653,0.508126872726939,0.619,0.508700102354145,0.508656552061829,-1
"13","2020","Idaho","Jordan",0.347040156926211,0.0930208084372092,0.254293789701209,0.433214150657797,0.346406442094586,0.0113333333333333,0.347236704900938,0.344187390063996,1
"14","2020","Idaho","Risch",0.608274174638307,0.0930692060886699,0.566785849342204,0.745706210298791,0.653593557905414,0.988666666666667,0.652763295099062,0.655812609936004,-1
"15","2020","Illinois","Curran",0.437028001990657,0.110111914836963,0.325949936066909,0.522315685161408,0.423257491752283,0.157666666666667,0.421108742004264,0.423244644709949,-1
"16","2020","Illinois","Durbin",0.58169294796368,0.110111914836963,0.477684314838592,0.674050063933091,0.576742508247716,0.842333333333333,0.578891257995736,0.576755355290051,1
"17","2020","Iowa","Ernst",0.475253688818771,0.0172036236010289,0.46901225550928,0.536246378484615,0.502768528550068,0.545,0.534020618556701,0.502932354979261,-1
"18","2020","Iowa","Greenfield",0.478242509108623,0.0172024580625162,0.463753621515385,0.53098774449072,0.497231471449932,0.455,0.465979381443299,0.497067645020739,1
"19","2020","Kansas","Bollier",0.442199973732859,0.0268786018107381,0.415981193873941,0.495736449921694,0.454696755221315,0.0783333333333333,0.437434279705573,0.455045776296512,1
"20","2020","Kansas","Marshall",0.48937326726611,0.0268966157280888,0.504263550078306,0.584018806126059,0.545303244778685,0.921666666666667,0.562565720294427,0.544954223703488,-1
"21","2020","Kentucky","McConnell",0.517522210857751,0.0314662149867183,0.530455411870231,0.614414759228691,0.572013944378137,0.988333333333333,0.602083333333333,0.572164363363782,-1
"22","2020","Kentucky","McGrath",0.417710433648566,0.0314208616194741,0.385585240771309,0.469544588129769,0.427986055621863,0.0116666666666667,0.397916666666667,0.427835636636218,1
"23","2020","New Hampshire","Messner",0.407807234923533,0.0268185665140307,0.391567247219946,0.467278794706002,0.428951051608985,0.008,0.419651995905834,0.428866208198006,-1
"24","2020","New Hampshire","Shaheen",0.55145911072683,0.0268612177994337,0.532721205293998,0.608432752780054,0.571048948391015,0.992,0.580348004094166,0.571133791801994,1
"25","2020","North Carolina","Cunningham",0.488870086441309,0.0168777881989528,0.475989854486755,0.545243715030503,0.509516348487399,0.644333333333333,0.491118077324974,0.510183867859269,1
"26","2020","North Carolina","Tillis",0.45826474798374,0.0168734256538385,0.454756284969497,0.524010145513245,0.490483651512601,0.355666666666667,0.508881922675026,0.489816132140731,-1
"27","2020","Oklahoma","Broyles",0.353960198910767,0.0423631127827204,0.31130737204983,0.412377638648557,0.362033004282435,0.000333333333333333,0.342737722048067,0.36209796735681,1
"28","2020","Oklahoma","Inhofe",0.56351113688476,0.0424027785312965,0.587622361351443,0.68869262795017,0.637966995717565,0.999666666666667,0.657262277951933,0.63790203264319,-1
"29","2020","Oregon","Merkley",0.552478857355565,0.0764646298118315,0.506369277159897,0.655192711399623,0.581135697526858,0.919333333333333,0.59190031152648,0.581683609740796,1
"30","2020","Oregon","Perkins",0.398611556920085,0.0764191840004018,0.344807288600377,0.493630722840103,0.418864302473142,0.0806666666666667,0.40809968847352,0.418316390259204,-1
"31","2020","South Carolina","Graham",0.48842600464361,0.0238030920100324,0.48813213909529,0.564715695696446,0.526533134218214,0.816,0.552178318135765,0.526332865692272,-1
"32","2020","South Carolina","Harrison",0.458411894506937,0.0237921248440184,0.435284304303554,0.51186786090471,0.473466865781786,0.184,0.447821681864235,0.473667134307728,1
"33","2020","South Dakota","Ahlers",0.416988709337217,0.110111914836963,0.293410609021686,0.487001982251459,0.393213568875914,0.074,0.343,0.391578946183716,1
