cycle,state,candidate,party,pmean,upper90,lower10,win
2020,WY,Merav Ben-David,D,32.30129,38.00666,26.534509999999997,0.0006
2020,WY,Cynthia Lummis,R,67.69870999999999,73.46548,61.99334,0.9994
2020,WV,Paula Jean Swearengin,D,36.39287,42.342009999999995,30.45203,0.006725
2020,WV,Shelley Moore Capito,R,60.67117,66.58927,54.73019,0.993275
2020,WV,Franklin Riley,I,2.935963,5.302156,1.004796,0.0
2020,VA,Mark Warner,D,58.16248,62.65396,53.68136,0.99285
2020,VA,Daniel Gade,R,40.02673,44.45644,35.54257,0.00715
2020,VA,all others,O,1.810788,3.465114,0.4938617,0.0
2020,TX,M.J. Hegar,D,45.26262,49.76617,40.74358,0.14215
2020,TX,John Cornyn,R,52.554190000000006,57.04485,48.02732,0.85785
2020,TX,all others,O,2.183193,4.128014,0.6517025,0.0
2020,TN,Marquita Bradshaw,D,36.61773,41.63212,31.614929999999998,0.003375
2020,TN,Bill Hagerty,R,59.551559999999995,64.56843,54.48259,0.996625
2020,TN,all others,O,3.830711,6.705941,1.428497,0.0
2020,SD,Dan Ahlers,D,38.10374,43.79619,32.536429999999996,0.006925
2020,SD,Mike Rounds,R,61.89626,67.46356,56.20381,0.993075
2020,SC,Jaime Harrison,D,46.63446,51.20962,42.08552,0.23045
2020,SC,Lindsey Graham,R,51.71842,56.231269999999995,47.14968,0.769525
